Row ID,Order ID,Order Date,Customer ID,Segment,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit,Region Manager
1,CA-2018-152156,11/8/2018,CG-12520,Consumer,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,261.96,2,0,41.9136,Cassandra Brandow
2,CA-2018-152156,11/8/2018,CG-12520,Consumer,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,731.94,3,0,219.582,Cassandra Brandow
3,CA-2018-138688,6/12/2018,DV-13045,Corporate,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,14.62,2,0,6.8714,Anna Andreadi
4,US-2017-108966,10/11/2017,SO-20335,Consumer,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,957.5775,5,0.45,-383.031,Cassandra Brandow
5,US-2017-108966,10/11/2017,SO-20335,Consumer,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,22.368,2,0.2,2.5164,Cassandra Brandow
6,CA-2016-115812,6/9/2016,BH-11710,Consumer,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,48.86,7,0,14.1694,Anna Andreadi
7,CA-2016-115812,6/9/2016,BH-11710,Consumer,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,7.28,4,0,1.9656,Anna Andreadi
8,CA-2016-115812,6/9/2016,BH-11710,Consumer,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,907.152,6,0.2,90.7152,Anna Andreadi
9,CA-2016-115812,6/9/2016,BH-11710,Consumer,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,18.504,3,0.2,5.7825,Anna Andreadi
10,CA-2016-115812,6/9/2016,BH-11710,Consumer,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,114.9,5,0,34.47,Anna Andreadi
11,CA-2016-115812,6/9/2016,BH-11710,Consumer,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,1706.184,9,0.2,85.3092,Anna Andreadi
